date,code,score,signal_type,best_sector,sector_rank,sector_strong_count,sector_top3_avg_ret,buy_price,ret_vs_prevclose,pos_in_range,pullback,amt_vs_prev,push_efficiency,distance_to_30d_high,break_30d_high,day_max_up_pct,day_max_down_pct,day_close_return_pct,next_open_return_pct,next_1000_return_pct,next_1000_max_up_pct,next_1000_max_down_pct,tags
2026-06-22,600111,119.0,轻筹码启动,稀土,3,3,3.4509311749333142,52.4500,2.0428015564202484,95.49549549549549549500,0.09523809523809523800,1.4008401775483496,10.552663238703238,10.505243088655858,-9.506556245686681,3.2411820781696900,-0.62917063870352716900,3.2411820781696900,2.2116301239275500,-1.33460438512869399400,2.2116301239275500,-2.19256434699714013300,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,上方空间足"
2026-06-22,000969,118.0,突破加速,无线充电,3,8,5.888780889358337,26.3600,5.10366826156301,96.52173913043478260900,0.15151515151515151500,2.0516568473312204,88.31273518125964,-0.7207890743550771,0.726022162781792,1.36570561456752655500,-4.28679817905918057700,0.26555386949924127500,2.4279210925644900,2.6555386949924100,4.7799696509863400,-0.60698027314112291400,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,突破近期高点"
2026-06-22,002353,118.0,突破加速,页岩气,2,3,5.162201972800151,173.0300,5.364754597491173,95.24815205913410770900,0.25939589578049342900,0.80287232683519789178,72.22384801363059,-0.15026296018031404,0.15048908954100604,1.4274981217130000,-2.67583656013408079500,0.36409871120614922300,0.36409871120614922300,-2.68739524937872045300,1.4274981217130000,-4.33450846673987169900,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,突破近期高点"
2026-06-22,000426,115.0,轻筹码启动,贵金属,2,3,4.897037476505317,41.5000,4.877432398281534,99.00990099009900990100,0.07223693715386467600,1.6328878772051705,50.04363247857262,26.963855421686734,-21.237426456633134,3.7349397590361400,-1.15662650602409638600,3.6385542168674700,2.6506024096385500,-4.02409638554216867500,2.6506024096385500,-4.79518072289156626500,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,上方空间足"
2026-06-22,601688,115.0,稳步承接,科创板做市商,3,3,2.817645226801517,20.0400,2.506393861892575,96.72131147540983606600,0.09970089730807577300,1.6908442826297591,44.16871417799205,4.291417165668654,-4.11483253588516,6.6866267465069900,-0.39920159680638722600,6.2375249500998000,5.7884231536926100,8.3832335329341300,9.8303393213572900,5.0399201596806400,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,仍有空间"
2026-06-22,688322,115.0,轻筹码启动,光学元件,3,5,5.1214396214583235,139.0000,3.9407761908322847,98.23182711198428290800,0.12932892656990947000,1.8276562145486244,40.866048118791895,7.913669064748197,-7.333333333333336,0.64748201438848920900,-9.71942446043165467600,-7.88489208633093525200,-10.06474820143884892100,-11.30215827338129496400,-8.89928057553956834500,-14.64748201438848920900,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,仍有空间"
2026-06-22,601179,115.0,轻筹码启动,输变电设备,2,5,4.1930995949097065,15.9300,4.390563564875483,95.83333333333333333300,0.18796992481203007500,0.82643577344624987130,55.38059340026924,24.858757062146907,-19.909502262443446,5.3986189579409900,-1.94601381042059008200,5.3986189579409900,3.5781544256120500,2.5109855618330200,6.7168863779033300,1.6321406151914600,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,上方空间足"
2026-06-22,603629,115.0,轻筹码启动,英伟达概念,3,5,8.530816802994043,186.2000,5.447955600860777,88.32684824902723735400,0.95744680851063829800,1.0131930352081670,29.002790713326004,29.366272824919438,-22.700099634672867,4.3179377013963500,0.00537056928034371600,4.3179377013963500,4.7314715359828100,3.1149301825993600,8.4317937701396300,-0.64446831364124597200,"涨幅适中,接近早盘高位,回撤可控,量能健康,推进效率高,上方空间足"
2026-06-22,002245,113.0,轻筹码启动,MiniLED,3,12,7.811462340005478,21.3700,4.754901960784319,90.43478260869565217400,0.51210428305400372400,1.8631748949135400,69.6848125788736,33.3645297145531,-25.017543859649116,4.2583060364997700,-1.59101544220870379000,3.6967711745437500,2.05896116050538137600,0.88909686476368741200,5.7089377632194700,0.14038371548900327600,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,上方空间足"
2026-06-22,605117,111.0,轻筹码启动,光伏设备,2,4,3.974413218806531,107.2100,3.8856589147286735,82.27513227513227513200,0.62106043752317389700,1.9455561965649873,63.33343654137503,62.820632403693686,-38.58272227314391,2.9381587538475900,-1.91213506202779591500,1.6696203712340300,2.1359947766066600,-4.61710661318906818400,2.1826322171439200,-5.32599570935547057200,"涨幅适中,高位承接,回撤很小,量能健康,推进效率高,上方空间足"
2026-06-22,002155,110.0,轻筹码启动,贵金属,1,3,4.897037476505317,28.0200,5.101275318829712,96.68508287292817679600,0.21367521367521367500,2.4076200481726962,75.68669825991759,10.206995003568874,-9.261658031088082,4.6038543897216300,-3.06923625981441827300,4.0328336902212700,1.89150606709493219100,-4.35403283369022127100,1.96288365453247680200,-4.71092077087794432500,"涨幅适中,接近早盘高位,回撤很小,明显放量,推进效率高,上方空间足"
2026-06-22,002230,110.0,轻筹码启动,人脑工程,3,3,4.3696742234266965,43.8700,2.957052335132593,88.99521531100478468900,0.52154195011337868500,3.1206864527529079,34.96453545178083,16.229769774333256,-13.963522259266536,1.6184180533394100,-1.41326646911328926400,0.02279462046956918200,-0.93457943925233644900,-1.77798039662639617100,0.20515158422612263500,-1.98313198085251880600,"涨幅适中,接近早盘高位,回撤很小,明显放量,推进效率高,上方空间足"
2026-06-22,002138,110.0,突破加速,被动元件概念,3,6,7.281648966776092,74.4500,4.623383923552571,86.38743455497382199000,0.69361077764439109000,0.98318739985628943491,50.10282551651009,-2.96843519140364,3.0592469545958068,1.4103425117528500,-4.79516453995970450000,-1.35661517797179315000,-3.02216252518468771000,-9.79180658159838818000,-2.61920752182672934900,-10.46339825386165211600,"涨幅适中,高位承接,回撤很小,量能健康,推进效率高,突破近期高点"
2026-06-22,600522,108.0,突破加速,CPO概念,3,23,9.745637177545781,60.7800,7.480106100795769,99.23076923076923076900,0.03289473684210526300,1.4533300515860635,16.762361107736755,-4.952286936492268,5.210316773411794,0.6581112207963100,-5.28134254689042448200,-1.89206975978940440900,-0.78973346495557749300,0.7403751233958500,1.9249753208292200,-3.80059230009871668300,"涨幅可接受,接近早盘高位,回撤很小,量能健康,推进效率高,均线聚合偏多"
2026-06-22,002028,108.0,轻筹码启动,输变电设备,3,5,4.1930995949097065,196.7900,3.464773922187181,93.91304347826086956500,0.10659898477157360400,0.62949882190844997849,65.4163541876055,11.69774886935313,-10.47268095173105,3.1556481528533000,-0.56913461049850094000,2.2409675288378500,2.3121093551501600,0.8486203567254400,4.6293002693226300,0.6148686416992700,"涨幅适中,接近早盘高位,回撤很小,量能温和,推进效率高,上方空间足"
2026-06-22,600487,108.0,突破加速,CPO概念,2,23,9.745637177545781,119.6000,7.73804161787226,86.35477582846003898600,0.58187863674147963400,1.1521122247652991,12.396343699399,-2.45819397993311,2.5201440082290416,1.9983277591973200,-2.08193979933110367900,0.4431438127090300,1.3377926421404700,-1.12876254180602006700,4.6488294314381300,-3.31103678929765886300,"涨幅可接受,高位承接,回撤很小,量能健康,推进效率高,突破近期高点"
2026-06-22,688361,107.0,稳步承接,中芯概念,3,25,8.116074996517911,267.0000,5.864160818365649,93.38235294117647058800,0.36941676928243591200,1.3420584820775264,109.69610993441242,0.4007490636704025,-0.39914947588316485,3.3670411985018700,-3.74531835205992509400,0.5880149812734100,0.3745318352059900,-1.26217228464419475700,2.2471910112359600,-2.19475655430711610500,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,均线聚合"
2026-06-22,600482,107.0,轻筹码启动,京津冀,2,4,6.680153015176622,35.1500,6.161280579885231,88.76404494382022471900,0.56577086280056577100,0.90283882416968751336,104.61852644058726,19.231863442389763,-16.12980195657361,0.99573257467994310100,-2.53200568990042674300,-0.99573257467994310100,-0.99573257467994310100,-0.99573257467994310100,2.4182076813655800,-2.13371266002844950200,"涨幅可接受,接近早盘高位,回撤很小,量能健康,推进效率高,上方空间足"
2026-06-22,002409,106.0,突破加速,工业气体,2,10,6.802217640575573,158.5000,5.5540756526371915,85.32526475037821482600,0.60826487740640872900,1.6737416881397335,39.05743491435192,-4.353312302839118,4.551451187335087,4.2145110410094600,-2.20820189274447949500,4.2145110410094600,0.9652996845425900,0.7255520504731900,4.7255520504731900,-0.29652996845425867500,"涨幅适中,高位承接,回撤很小,量能健康,推进效率高,突破近期高点"
2026-06-22,600893,106.0,轻筹码启动,航空装备Ⅲ,2,3,6.352226400568761,41.0000,5.07432086109687,82.98755186721991701200,0.99009900990099009900,3.0474316853247704,86.34712413846573,29.268292682926834,-22.64150943396226,1.95121951219512195100,-1.53658536585365853700,1.46341463414634146300,1.02439024390243902400,-0.97560975609756097600,1.02439024390243902400,-1.26829268292682926800,"涨幅适中,高位承接,回撤可控,明显放量,推进效率高,上方空间足"
2026-06-24,600267,119.0,轻筹码启动,减肥药,3,9,6.268605249193519,10.2500,3.535353535353525,100.00000000000000000000,0E-20,1.8532263679414997,4.637618169850039,14.439024390243915,-12.617220801364027,1.17073170731707317100,-1.26829268292682926800,-0.78048780487804878000,-2.24390243902439024400,-3.41463414634146341500,-0.48780487804878048800,-4.29268292682926829300,"涨幅适中,接近早盘高位,回撤很小,量能健康,推进效率高,上方空间足"
